,10-Digit BBL,"StreetNumber",Street Name,"DOF Gross SquareFootage",Energy Star 1 to 100 Score,"EnergyEfficiencyGrade"
1,1000020002,10,SOUTH STREET,"1 57,426",2,D
2,1000047501,1,WATER STREET,"2 ,542,563",64,C
3,1000057501,125,BROAD STREET,"1 ,354,691",76,B
4,1000080039,32,PEARL STREET,"4 6,724",74,B
5,1000080051,6,WATER STREET,"1 02,407",34,D
6,1000087501,2,WATER STREET,"1 69,061",37,D
7,1000090001,34,WHITEHALL STREET,"6 92,431",81,B
8,1000090014,17,STATE STREET,"5 44,015",75,B
9,1000090029,24,STATE STREET,"8 96,956",53,D
10,1000100014,33,WHITEHALL STREET,"3 65,792",78,B
11,1000100016,90,BROAD STREET,"3 36,025",82,B
12,1000100023,1,WHITEHALL STREET,"3 21,994",88,A
14,1000110021,80,BROAD STREET,"3 61,710",74,B
15,1000130001,1,BROADWAY,"2 06,480",69,C
16,1000130005,11,BROADWAY,"4 34,220",95,A
17,1000150022,21,WEST STREET,"3 35,746",29,D
18,1000157501,17,BATTERY PLACE,"1 ,402,831",84,B
19,1000157502,20,WEST STREET,"2 59,076",60,C
20,1000160015,50,BATTERY PLACE,"2 39,165",85,A
21,1000160020,70,BATTERY PLACE,"2 30,765",98,A
22,1000160100,345,SOUTH END AVENUE,"1 ,881,621",78,B
23,1000160120,200,LIBERTY STREET,"1 ,501,878",86,A
24,1000160125,225,LIBERTY STREET,"2 ,267,925",76,B
25,1000160140,200,VESEY STREET,"2 ,233,692",79,B
26,1000160150,250,VESEY STREET,"2 ,084,079",86,A
27,1000160185,211,NORTH END AVENUE,"2 83,905",2,D
28,1000160195,325,NORTH END AVENUE,"3 56,483",44,D
29,1000160205,455,NORTH END AVENUE,"2 39,185",1,D
30,1000160210,399,CHAMBERS STREET,"3 57,000",77,B
32,1000160221,450,NORTH END AVENUE,"2 44,617",33,D
33,1000160225,1,NORTH END AVENUE,"5 02,000",79,B
34,1000167501,377,RECTOR PLACE,"2 20,821",71,B
35,1000167502,320,ALBANY STREET,"1 50,855",75,B
36,1000167504,300,ALBANY STREET,"9 1,774",63,C
37,1000167505,380,RECTOR PLACE,"2 57,092",59,C
38,1000167503,250,SOUTH END AVENUE,"1 06,052",46,D
39,1000167506,280,RECTOR PLACE,"1 06,631",70,B
40,1000167507,300,RECTOR PLACE,"1 29,176",86,A
41,1000167508,200,RECTOR PLACE,"5 90,974",57,C
