10-Digit BBL,"StreetNumber",Street Name,"DOF Gross SquareFootage",Energy Star 1 to 100 Score,"EnergyEfficiencyGrade"
1000010010,1,GOVERNORS ISLAND,"2 ,598,091","missing required benchmarkinginformation",F
1000020002,10,SOUTH STREET,"1 57,426",2,D
1000047501,1,WATER STREET,"2 ,542,563",64,C
1000057501,125,BROAD STREET,"1 ,354,691",76,B
1000080039,32,PEARL STREET,"4 6,724",74,B
1000080051,6,WATER STREET,"1 02,407",34,D
1000087501,2,WATER STREET,"1 69,061",37,D
1000090001,34,WHITEHALL STREET,"6 92,431",81,B
1000090014,17,STATE STREET,"5 44,015",75,B
1000090029,24,STATE STREET,"8 96,956",53,D
1000100014,33,WHITEHALL STREET,"3 65,792",78,B
1000100016,90,BROAD STREET,"3 36,025",82,B
1000100023,1,WHITEHALL STREET,"3 21,994",88,A
1000100033,8,STONE STREET,"1 43,731","missing required benchmarkinginformation",F
1000110021,80,BROAD STREET,"3 61,710",74,B
1000130001,1,BROADWAY,"2 06,480",69,C
1000130005,11,BROADWAY,"4 34,220",95,A
1000150022,21,WEST STREET,"3 35,746",29,D
1000157501,17,BATTERY PLACE,"1 ,402,831",84,B
1000157502,20,WEST STREET,"2 59,076",60,C
1000160015,50,BATTERY PLACE,"2 39,165",85,A
1000160020,70,BATTERY PLACE,"2 30,765",98,A
1000160100,345,SOUTH END AVENUE,"1 ,881,621",78,B
1000160120,200,LIBERTY STREET,"1 ,501,878",86,A
1000160125,225,LIBERTY STREET,"2 ,267,925",76,B
1000160140,200,VESEY STREET,"2 ,233,692",79,B
1000160150,250,VESEY STREET,"2 ,084,079",86,A
1000160185,211,NORTH END AVENUE,"2 83,905",2,D
1000160195,325,NORTH END AVENUE,"3 56,483",44,D
1000160205,455,NORTH END AVENUE,"2 39,185",1,D
1000160210,399,CHAMBERS STREET,"3 57,000",77,B
10-Digit BBL,"StreetNumber",Street Name,"DOF Gross SquareFootage",Energy Star 1 to 100 Score,"EnergyEfficiencyGrade"
1000160221,450,NORTH END AVENUE,"2 44,617",33,D
1000160225,1,NORTH END AVENUE,"5 02,000",79,B
1000167501,377,RECTOR PLACE,"2 20,821",71,B
1000167502,320,ALBANY STREET,"1 50,855",75,B
1000167504,300,ALBANY STREET,"9 1,774",63,C
1000167505,380,RECTOR PLACE,"2 57,092",59,C
1000167503,250,SOUTH END AVENUE,"1 06,052",46,D
1000167506,280,RECTOR PLACE,"1 06,631",70,B
1000167507,300,RECTOR PLACE,"1 29,176",86,A
1000167508,200,RECTOR PLACE,"5 90,974",57,C
1000167509,21,SOUTH END AVENUE,"2 37,270",28,D
1000167510,99,BATTERY PLACE,"3 05,973",39,D
1000167511,2,SOUTH END AVENUE,"1 89,273",30,D
1000167512,102,NORTH END AVENUE,"6 41,681",22,D
1000167513,25,BATTERY PLACE,"5 62,340",80,B
1000167514,30,WEST STREET,"4 22,304",35,D
1000167515,225,RECTOR PLACE,"2 87,819",94,A
1000167516,1,RIVER TERRACE,"5 31,665",41,D
1000167517,71,BATTERY PLACE,"5 08,458",1,D
1000167518,333,RECTOR PLACE,"2 62,021",66,C
1000167519,300,NORTH END AVENUE,"2 73,018",15,D
1000167520,200,NORTH END AVENUE,"4 25,407",4,D
1000167521,212,WARREN STREET,"3 35,784",86,A
1000167522,400,CHAMBERS STREET,"3 60,656",37,D
1000160215,345,CHAMBERS STREET,"4 50,000",42,D
1000160220,201,WARREN STREET,"1 05,177",60,C
1000160040,55,BATTERY PLACE,"1 34,082",23,D
1000170029,90,WASHINGTON STREET,"3 35,114",82,B
1000177501,50,WEST STREET,"4 27,177",51,D
1000187501,13,RECTOR STREET,"4 81,731",24,D
1000197501,42,TRINITY PLACE,"3 01,426",61,C
1000200001,29,BROADWAY,"3 16,150",83,B
1000200004,39,BROADWAY,"4 47,452",85,A
10-Digit BBL,"StreetNumber",Street Name,"DOF Gross SquareFootage",Energy Star 1 to 100 Score,"EnergyEfficiencyGrade"
1000200009,45,BROADWAY,"3 68,315",86,A
1000200016,55,BROADWAY,"3 09,381",79,B
1000210001,61,BROADWAY,"6 50,740",90,A
1000210004,65,BROADWAY,"3 35,184",87,A
1000210006,71,BROADWAY,"3 03,086",84,B
1000220013,26,BROADWAY,"8 60,889",87,A
1000220024,50,BROADWAY,"3 00,676",83,B
1000220028,52,BROADWAY,"3 45,540",67,C
1000230019,11,WALL STREET,"2 40,279","missing required benchmarkinginformation",F
1000230050,20,BROAD STREET,"4 66,820",90,A
1000240001,60,BROAD STREET,"9 74,958",69,C
1000240029,30,BROAD STREET,"3 70,000",89,A
1000240036,50,BROAD STREET,"2 05,940",85,A
1000247501,40,BROAD STREET,"3 19,910",15,D
1000250001,55,BROAD STREET,"4 06,025",63,C
1000250010,41,BROAD STREET,"9 1,553",3,D
1000250027,40,EXCHANGE PLACE,"2 39,071",88,A
1000257501,15,WILLIAM STREET,"5 30,168",77,B
1000257502,25,BROAD STREET,"4 33,463",44,D
1000260014,37,WALL STREET,"3 77,214","missing required benchmarkinginformation",F
1000260021,45,WALL STREET,"4 93,187",67,C
1000267501,15,BROAD STREET,"9 44,252",64,C
1000270009,63,WALL STREET,"4 00,531",23,D
1000270017,67,WALL STREET,"3 05,271",23,D
1000277501,55,WALL STREET,"2 63,582",1,D
1000277502,20,EXCHANGE PLACE,"7 86,942",90,A
1000280001,3,HANOVER SQUARE,"2 39,121",22,D
1000280005,5,HANOVER SQUARE,"2 92,466",69,C
1000280012,76,BEAVER STREET,"9 5,325",81,B
1000287501,82,BEAVER STREET,"1 08,373",38,D
1000290001,85,BROAD STREET,"1 ,007,569",79,B
10-Digit BBL,"StreetNumber",Street Name,"DOF Gross SquareFootage",Energy Star 1 to 100 Score,"EnergyEfficiencyGrade"
1000290036,1,WILLIAM STREET,"1 05,000",76,B
1000290070,75,BROAD STREET,"6 61,283",100,A
1000297503,21,SOUTH WILLIAM STREET,"2 5,483",1,D
1000290073,44,BEAVER STREET,"9 7,596",58,C
1000307501,7,HANOVER SQUARE,"8 06,170",80,B
1000310001,10,HANOVER SQUARE,"4 87,404",36,D
1000317501,75,WALL STREET,"6 83,289",35,D
1000327501,43,WATER STREET,"3 ,678,000",81,B
1000330001,77,WATER STREET,"5 41,568",70,B
1000330011,95,WALL STREET,"4 73,460",18,D
1000337501,101,WALL STREET,"1 06,598",41,D
1000350001,77,FRONT STREET,"9 73,587",76,B
1000370013,129,FRONT STREET,"3 4,613",18,D
1000370023,180,MAIDEN LANE,"1 ,079,361",71,B
1000380001,100,WALL STREET,"4 63,664",64,C
1000380017,88,PINE STREET,"6 64,990",76,B
1000390001,88,WALL STREET,"1 22,157",98,A
1000390038,126,WATER STREET,"4 2,568",76,B
1000397501,164,PEARL STREET,"1 17,641",5,D
1000400014,48,WALL STREET,"2 81,755",75,B
1000400016,52,WILLIAM STREET,"1 19,467","missing required benchmarkinginformation",F
1000407501,73,PINE STREET,"3 06,787","missing required benchmarkinginformation",F
1000410015,60,PINE STREET,"4 9,197","missing required benchmarkinginformation",F
1000410024,62,WILLIAM STREET,"4 2,000",75,B
1000417501,50,PINE STREET,"4 5,352",3,D
1000417503,56,PINE STREET,"8 1,412","missing required benchmarkinginformation",F
1000417504,66,PINE STREET,"9 75,719",70,B
1000420001,100,MAIDEN LANE,"2 90,116",26,D
1000420022,10,LIBERTY STREET,"4 31,000",5,D
1000430001,44,WALL STREET,"2 89,049",80,B
10-Digit BBL,"StreetNumber",Street Name,"DOF Gross SquareFootage",Energy Star 1 to 100 Score,"EnergyEfficiencyGrade"
1000430002,40,WALL STREET,"1 ,061,286",86,A
1000440001,28,LIBERTY STREET,"2 ,224,200",42,D
1000447501,18,PINE STREET,"5 83,639",77,B
1000460001,2,WALL STREET,"1 73,159",57,C
1000460003,100,BROADWAY,"3 64,390",84,B
1000460009,14,WALL STREET,"8 39,749",43,D
1000477501,120,BROADWAY,"1 ,736,513",77,B
1000490002,111,BROADWAY,"4 32,093",85,A
1000500001,115,BROADWAY,"3 96,607",81,B
1000510001,101,GREENWICH STREET,"4 00,294",84,B
1000510013,86,TRINITY PLACE,"1 81,725","missing required benchmarkinginformation",F
1000510015,90,TRINITY PLACE,"8 3,362",6,D
1000520008,133,GREENWICH STREET,"1 30,054",24,D
1000520021,120,LIBERTY STREET,"5 7,945",74,B
1000520001,96,TRINITY PLACE,"1 02,591",4,D
1000530002,99,WASHINGTON STREET,"1 42,236",68,C
1000530033,110,GREENWICH STREET,"5 7,941",21,D
1000530038,100,GREENWICH STREET,"7 0,918",27,D
1000537501,120,GREENWICH STREET,"6 6,872",60,C
1000537502,123,WASHINGTON STREET,"3 96,477",57,C
1000550014,71,WEST STREET,"2 58,071","missing required benchmarkinginformation",F
